time_s,left_rad_s,right_rad_s,left_ctrl,right_ctrl,left_error,right_error
3.94,5.269824769219358,7.0264330256258125,5.343356693194659,7.124475590926215,0.734631711021569,0.9795089480287578
3.96,5.274254215211869,7.0323389536158265,5.347340074088289,7.129786765451056,0.7301752307806417,0.9735669743741875
3.98,5.278656790953237,7.038209054604318,5.351299290685809,7.135065720914415,0.7257457847881312,0.9676610463841735
4.0,5.283032659445883,7.044043545927846,5.355234489574548,7.140312652766068,0.7213432090467631,0.9617909453956823
4.0200000000000005,5.28738198270341,7.049842643604548,5.359145816452601,7.145527755270137,0.7169673405541168,0.9559564540721537
4.04,5.291704921756599,7.055606562342134,5.363033416134216,7.1507112215122905,0.7126180172965899,0.9501573563954517
4.0600000000000005,5.296001636659374,7.061335515545833,5.366897432555158,7.155863243406881,0.7082950782434008,0.9443934376578662
4.08,5.300272286494726,7.067029715326304,5.3707380087780425,7.16098401170406,0.7039983633406264,0.9386644844541667
4.1,5.304517029380606,7.072689372507477,5.374555286997623,7.166073715996833,0.6997277135052737,0.9329702846736962
4.12,5.308736022475775,7.078314696634369,5.378349408546063,7.171132544728087,0.6954829706193939,0.9273106274925231
4.14,5.312929421985626,7.083905895980837,5.382120513898166,7.176160685197558,0.6912639775242253,0.9216853033656314
4.16,5.317097383167965,7.08946317755729,5.385868742676577,7.181158323568771,0.6870705780143744,0.9160941040191632
4.18,5.321240060338765,7.094986747118355,5.389594233656949,7.186125644875934,0.6829026168320347,0.91053682244271
4.2,5.325357606877869,7.100476809170494,5.393297124773087,7.191062833030786,0.6787599396612354,0.9050132528816448
4.22,5.32945017523468,7.105933566979575,5.396977553122051,7.1959700708294045,0.6746423931221308,0.8995231908295063
4.24,5.333517916933797,7.111357222578397,5.40063565496923,7.200847539958977,0.6705498247653203,0.8940664330204253
4.26,5.337560982580631,7.116747976774176,5.404271565753392,7.2056954210045285,0.666482083066203,0.8886427774216026
4.28,5.3415795218669775,7.122106029155972,5.407885420091697,7.2105138934556,0.6624390174193691,0.8832520232258236
4.3,5.34557368357656,7.127431578102082,5.411477351784674,7.215303135712902,0.6584204781330225,0.8778939708440276
4.32,5.349543615590538,7.132724820787387,5.415047493821187,7.220063325094919,0.6544263164234403,0.8725684218979177
4.34,5.353489464892984,7.137985953190649,5.418595978383349,7.224794637844468,0.6504563844094617,0.867275179212613
4.36,5.357411377576324,7.143215170101768,5.422122936851423,7.229497249135234,0.6465105351070157,0.8620140468093513
